id;cliente_id;valor;data
6601;730;20.0;2021-10-16 18:11:35 -0300
6591;730;2.0;2021-10-16 17:17:20 -0300
6609;732;20.0;2021-10-16 16:48:23 -0300
6584;671;500.0;2021-10-16 12:26:12 -0300
6579;732;20.0;2021-10-16 08:16:57 -0300
6575;732;70.0;2021-10-15 23:48:02 -0300
6543;732;138.69;2021-10-14 23:38:46 -0300
6537;737;10.0;2021-10-14 20:57:52 -0300
6527;730;2.0;2021-10-14 17:09:40 -0300
6525;730;2.0;2021-10-14 17:03:47 -0300
6522;730;30.0;2021-10-14 16:52:39 -0300
6517;732;103.00000000000026;2021-10-14 15:26:43 -0300
6516;730;2.0;2021-10-14 13:17:58 -0300
6511;370;50.0;2021-10-14 12:27:07 -0300
6502;732;400.7172960000001;2021-10-14 01:18:47 -0300
6500;730;2.0;2021-10-13 22:30:57 -0300
6497;737;12.5;2021-10-13 20:55:26 -0300
6495;730;2.0;2021-10-13 20:48:30 -0300
6474;732;60.0;2021-10-13 16:15:46 -0300
6446;732;43.2;2021-10-12 17:58:26 -0300
6444;730;2.0;2021-10-12 17:51:36 -0300
6441;732;34.944799999999994;2021-10-12 17:20:10 -0300
6438;730;2.0;2021-10-12 16:56:41 -0300
6430;732;70.19999999999999;2021-10-12 15:27:52 -0300
6411;732;33.495;2021-10-12 13:27:21 -0300
6398;732;20.0;2021-10-12 01:41:59 -0300
6393;730;2.0;2021-10-11 19:18:56 -0300
6384;737;8.0;2021-10-10 21:13:53 -0300
6381;737;18.75;2021-10-10 18:18:40 -0300
6380;737;13.75;2021-10-10 18:18:39 -0300
6373;211;10.0;2021-10-10 15:34:45 -0300
6357;732;20.0;2021-10-10 13:20:30 -0300
6347;737;12.25;2021-10-09 21:07:20 -0300
6330;671;700.0;2021-10-09 13:23:55 -0300
6311;732;30.0;2021-10-08 02:44:35 -0300
6300;730;2.0;2021-10-07 15:05:31 -0300
6288;211;10.0;2021-10-07 13:18:36 -0300
6283;730;2.0;2021-10-07 01:59:58 -0300
6276;730;2.0;2021-10-06 21:07:33 -0300
6274;730;2.0;2021-10-06 21:02:40 -0300
6269;730;2.0;2021-10-06 18:55:05 -0300
6268;730;2.0;2021-10-06 18:54:34 -0300
6260;730;2.0;2021-10-06 18:33:07 -0300
6254;730;2.0;2021-10-06 18:10:20 -0300
6253;730;2.0;2021-10-06 18:10:02 -0300
6251;730;2.0;2021-10-06 18:07:56 -0300
6248;730;2.0;2021-10-06 18:00:46 -0300
6247;730;2.0;2021-10-06 18:00:16 -0300
6246;730;2.0;2021-10-06 17:59:54 -0300
6214;732;52.199999999999996;2021-10-05 23:27:45 -0300
